# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=6)
"GDP253";"GDP255";"HSBR";"GDP274_2";"LHU27";"Sfygt10";"GDP275A"
10.544;20.276;1543.66666666667;82.662;738;1.21666666666667;22.646
10.954;20.671;1514;82.894;584.666666666667;1.25666666666667;22.694
11.178;20.978;1442.66666666667;82.96;474.333333333333;0.963333333333333;22.815
10.61;21.252;1350;82.929;463.666666666667;0.353333333333333;22.904
10.971;21.505;1045;83.185;444.666666666667;0.613333333333333;22.911
11.224;21.711;1008.66666666667;83.343;405.333333333333;1.26666666666667;23.061
11.135;21.72;992.333333333333;83.396;425.333333333333;1.47333333333333;23.132
10.836;21.944;967.333333333333;83.375;556.666666666667;1.58;23.251
10.198;22.177;976.666666666667;83.256;666.333333333333;1.43666666666667;23.294
10.414;22.581;1033;83.275;863;1.48666666666667;23.171
10.67;22.669;1113.33333333333;83.139;912;1.67666666666667;23.228
11.204;23.077;1145.33333333333;82.926;775.333333333333;1.51333333333333;23.214
11.455;23.285;1150;82.762;665.333333333333;1.29333333333333;23.304
11.751;23.656;1177;82.566;607.666666666667;1.15666666666667;23.38
11.853;23.866;1204;82.362;563.333333333333;1.15;23.422
12.402;24.18;1217.66666666667;82.281;485.333333333333;1.09;23.542
12.674;24.293;1239.33333333333;82.216;580;0.986666666666667;23.595
12.958;24.564;1327.66666666667;82.134;565.333333333333;1.02333333333333;23.59
13.106;25.058;1348;82.18;542.666666666667;0.74;23.745
13.33;25.405;1398;82.4;513.666666666667;0.623333333333333;23.802
13.833;25.792;1350.33333333333;82.357;498.666666666667;0.65;23.926
14.195;26.16;1281;82.226;494;0.723333333333333;23.936
14.674;26.527;1291.66666666667;81.948;497;0.696666666666667;23.996
14.186;26.9;1216;81.723;433.333333333333;0.49;24.085
15.553;27.158;1220;81.554;386.666666666667;0.313333333333333;24.172
15.584;27.538;1203.33333333333;81.363;362.666666666667;0.333333333333333;24.381
16.137;27.919;1237.66666666667;80.985;335.666666666667;0.38;24.528
16.825;28.382;1300;80.481;313.333333333333;0.306666666666667;24.611
17.64;28.644;1239.33333333333;80.382;276;0.16;24.92
16.901;28.99;1059.66666666667;80.605;255.333333333333;0.193333333333333;25.141
17.483;29.242;861;80.978;205.333333333333;0.0966666666666667;25.341
17.484;29.641;739.333333333333;81.421;210.333333333333;-0.206666666666667;25.526
17.152;30.003;952.333333333333;81.685;194.666666666667;0.07;25.582
17.915;30.367;1093.33333333333;81.741;159;1.16;25.673
17.748;30.799;1228.33333333333;82.147;171;0.946666666666667;25.935
17.779;31.039;1297.33333333333;82.603;185;0.89;26.13
18.92;31.438;1297;83.561;182.666666666667;0.56;26.409
19.28;31.966;1294.33333333333;84.269;149;0.223333333333333;26.67
20.155;32.387;1388.33333333333;84.824;148;0.263333333333333;26.951
20.021;32.8;1415.33333333333;85.459;141.666666666667;0.183333333333333;27.25
20.392;33.14;1464;86.003;121.333333333333;0.0833333333333333;27.479
20.326;33.5;1372.66666666667;86.696;127.666666666667;0.156666666666667;27.869
20.27;33.831;1286;87.23;146.666666666667;-0.166666666666667;28.278
20.169;34.292;1187.33333333333;87.71;138;-0.0566666666666667;28.624
19.814;34.611;1104;88.018;161.666666666667;0.156666666666667;29.012
20.016;34.8;1291.33333333333;88.407;219;1.03666666666667;29.35
20.071;35.234;1381.33333333333;88.556;255.333333333333;1.13333333333333;29.572
18.624;35.508;1611;89.054;324.666666666667;1.5;29.847
20.72;35.808;1663.33333333333;89.455;443.666666666667;2.17666666666667;29.949
21.189;36.175;1873.33333333333;89.928;501;1.99666666666667;30.245
21.748;36.52;2023;90.343;560;1.47333333333333;30.521
22.716;37.098;2079.33333333333;90.44;585;1.66;30.722
23.268;37.685;2170.66666666667;90.736;625.333333333333;2.59666666666667;31.046
23.835;38.15;2129.66666666667;90.975;601;2.37333333333333;31.172
24.456;38.651;2283.66666666667;91.334;534.666666666667;2.07;31.455
25.783;39.389;2335.66666666667;91.746;482.333333333333;1.51;31.817
27.426;39.779;2186.33333333333;92.104;390;0.903333333333333;32.438
27.07;40.212;1963.33333333333;92.579;338;0.203333333333333;33.377
26.794;40.454;1777.33333333333;93.108;303.666666666667;-1.11666666666667;34.222
26.106;40.652;1367;93.597;338;-0.746666666666667;35.317
25.442;40.671;1377;94.904;332;-0.563333333333333;36.958
25.593;41.088;1159.33333333333;97.067;359;-0.61;38.215
25.758;41.337;919.666666666667;100.153;388.666666666667;-0.226666666666667;39.276
23.209;41.769;825.333333333333;103.103;455.333333333333;0.31;40.36
23.698;42.146;721.333333333333;105.069;703.666666666667;1.79;40.974
24.136;42.612;908.666666666667;106.598;1119.33333333333;2.65666666666667;41.214
25.699;42.86;1026;107.531;1490.33333333333;1.96666666666667;42.078
26.45;43.355;1099;108.881;1559.66666666667;2.43666666666667;42.674
27.823;43.823;1183;109.969;1524.66666666667;2.83666666666667;42.831
27.937;44.108;1171.33333333333;110.644;1327;2.61666666666667;42.955
28.258;44.628;1345;111.176;1244.66666666667;2.58;43.522
28.73;45.341;1489;111.756;1281;2.51666666666667;44.076
29.943;45.702;1562;112.834;1193;2.72333333333333;44.868
30.623;45.992;1693.33333333333;113.422;1071.66666666667;2.53;45.727
31.031;46.68;1713.66666666667;114.411;936.666666666667;1.86;46.253
31.641;47.193;1761;115.133;889;1.48666666666667;46.798
30.808;47.895;1758.33333333333;116.174;731.333333333333;1.61666666666667;47.462
33.214;48.538;1899;118.175;670.666666666667;1.84333333333333;48.618
32.737;48.775;1742.66666666667;119.725;631.333333333333;1.17666666666667;49.489
32.982;49.023;1798;121.734;546.333333333333;0.25;50.371
32.642;49.519;1557.66666666667;123.4;559;-0.276666666666667;51.733
31.888;49.979;1640.33333333333;124.69;530;-0.263333333333333;53.402
32.813;50.169;1587.66666666667;125.808;512;-0.57;55.011
31.956;50.509;1337;127.697;541.666666666667;-1.39666666666667;56.443
31.528;50.637;1155.66666666667;130.431;559.333333333333;-1.36666666666667;58.472
28.003;50.338;929;132.814;727.666666666667;0.86;59.84
29.339;50.969;1370;134.976;926.666666666667;1.8;61.081
30.282;51.738;1332.66666666667;136.794;1113.33333333333;-1.19;62.405
31.185;51.422;1201;139.064;1241.66666666667;-1.43;64.172
29.919;51.852;1113;141.131;1134.66666666667;-1.15666666666667;64.874
30.889;51.863;890.333333333333;143.024;1121.33333333333;-0.206666666666667;65.479
28.602;51.954;758.333333333333;144.529;1149.33333333333;2.33666666666667;65.993
29.588;52.186;831;146.013;1274.33333333333;1.48;66.4
29.674;52.455;918;147.356;1634;1.51;66.512
29.912;52.94;1004;147.283;1900;3.8;67.368
31.339;53.879;1243;147.734;2382.66666666667;2.76;67.541
31.63;54.599;1457.33333333333;147.69;2709.66666666667;2.45666666666667;67.504
34.013;55.388;1668;147.811;2781.66666666667;2.14666666666667;68.313
35.351;56.204;1697.66666666667;147.666;2521.66666666667;2.48666666666667;68.81
37.144;56.849;1670.33333333333;147.803;2168.33333333333;2.88666666666667;68.917
38.596;57.042;1842.66666666667;147.468;1884.66666666667;2.77333333333333;69.693
39.477;57.601;1777;147.62;1677;3.40333333333333;69.848
39.472;58.338;1552.66666666667;146.932;1518.66666666667;2.54666666666667;70.085
40.764;59.124;1586.33333333333;147.045;1414;2.94;70.39
42.236;60.272;1683;147.061;1336;3.4;70.919
42.719;60.828;1696.33333333333;147.086;1298;3.35333333333333;71.411
45.526;61.779;1807;145.401;1240.66666666667;3.23;71.64
43.828;62.333;1743;145.481;1233.66666666667;2.59333333333333;72.201
44.746;62.477;1798;144.512;1147.66666666667;1.66;72.012
46.312;62.744;1815;144.706;1207.33333333333;1.46333333333333;70.738
50.432;63.281;1730.66666666667;144.534;1214;1.78333333333333;71.056
49.65;63.941;1740.66666666667;144.508;1176.33333333333;1.91;71.287
46.485;64.93;1694.33333333333;145.462;1124.66666666667;1.65666666666667;72.709
48.465;65.544;1541;144.95;1088.66666666667;2.68666666666667;73.444
50.486;66.153;1513.66666666667;144.599;1005.66666666667;2.83333333333333;74.144
49.029;66.743;1416.33333333333;144.156;927.333333333333;3.26;74.628
51.511;67.599;1402.33333333333;144.307;868.333333333333;2.69333333333333;74.977
