# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP251
# prediction_type;rolling
# method; GFSM_(n_components=4)
"GDP251";"LHEL";"CPILFESL";"FM2";"FYGM6"
24.375;34;29.9333333333333;287.833333333333;3.11666666666667
25.016;38.6666666666667;30.1;292.133333333333;3.37333333333333
24.997;41;30.2333333333333;296.1;4.13
25.085;40;30.4333333333333;297.133333333333;4.64
25.643;40.3333333333333;30.5666666666667;298.7;4.21666666666667
25.515;37.6666666666667;30.6333333333333;301.1;3.29
25.555;35;30.6;306.466666666667;2.71
25.224;31.3333333333333;30.7666666666667;310.933333333333;2.63
25.376;30;30.8333333333333;316.3;2.53666666666667
25.853;31.3333333333333;30.9333333333333;322.133333333333;2.48666666666667
26.272;34;31.0666666666667;327.566666666667;2.59666666666667
26.809;37.6666666666667;31.1666666666667;333.333333333333;2.74666666666667
27.291;39.3333333333333;31.2333333333333;340.233333333333;2.91333333333333
27.589;39.3333333333333;31.3666666666667;347.433333333333;2.80333333333333
27.843;38.3333333333333;31.4666666666667;352.833333333333;3
27.911;37;31.5333333333333;359.9;2.88
28.277;38;31.6;367.933333333333;2.96333333333333
28.63;37.3333333333333;31.7333333333333;375.933333333333;3.02333333333333
29.169;38;31.8666666666667;383.566666666667;3.41666666666667
29.396;39;32.0333333333333;391;3.63
30.055;40;32.2;397.533333333333;3.67666666666667
30.404;42.3333333333333;32.2333333333333;404.333333333333;3.60666666666667
30.819;44.6666666666667;32.3;413.466666666667;3.61666666666667
30.902;46.3333333333333;32.4666666666667;421.966666666667;3.82666666666667
31.661;48.6666666666667;32.6;430.366666666667;3.98
32.089;52.3333333333333;32.7;437.533333333333;3.93333333333333
32.74;55;32.7333333333333;446.066666666667;3.97333333333333
33.532;62;32.9;455.833333333333;4.32666666666667
34.352;67;33.0666666666667;464.6;4.77
34.471;68;33.4;470.2;4.73333333333333
34.698;68;33.7;472.966666666667;5.33
34.977;66.6666666666667;34.0333333333333;477.733333333333;5.41
35.287;65.6666666666667;34.2333333333333;485.466666666667;4.51666666666667
35.289;64.3333333333333;34.5;497.1;3.86
35.569;64;34.8666666666667;510.6;4.83666666666667
35.838;65.6666666666667;35.2333333333333;521.4;5.27
36.576;66.6666666666667;35.6666666666667;530.333333333333;5.24666666666667
37.197;69;36.0333333333333;539.066666666667;5.65333333333333
37.45;72;36.5333333333333;549.533333333333;5.29666666666667
