# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=1)
"GDP253";"GDP255"
10.544;20.276
10.954;20.671
11.178;20.978
10.61;21.252
10.971;21.505
11.224;21.711
11.135;21.72
10.836;21.944
10.198;22.177
10.414;22.581
10.67;22.669
11.204;23.077
11.455;23.285
11.751;23.656
11.853;23.866
12.402;24.18
12.674;24.293
12.958;24.564
13.106;25.058
13.33;25.405
13.833;25.792
14.195;26.16
14.674;26.527
14.186;26.9
15.553;27.158
15.584;27.538
16.137;27.919
16.825;28.382
17.64;28.644
16.901;28.99
17.483;29.242
17.484;29.641
17.152;30.003
17.915;30.367
17.748;30.799
17.779;31.039
18.92;31.438
19.28;31.966
20.155;32.387
20.021;32.8
20.392;33.14
20.326;33.5
20.27;33.831
20.169;34.292
19.814;34.611
20.016;34.8
20.071;35.234
18.624;35.508
20.72;35.808
21.189;36.175
21.748;36.52
22.716;37.098
23.268;37.685
23.835;38.15
24.456;38.651
25.783;39.389
27.426;39.779
27.07;40.212
26.794;40.454
26.106;40.652
25.442;40.671
25.593;41.088
25.758;41.337
23.209;41.769
23.698;42.146
24.136;42.612
25.699;42.86
26.45;43.355
27.823;43.823
27.937;44.108
28.258;44.628
28.73;45.341
29.943;45.702
30.623;45.992
31.031;46.68
31.641;47.193
30.808;47.895
33.214;48.538
32.737;48.775
32.982;49.023
32.642;49.519
31.888;49.979
32.813;50.169
31.956;50.509
31.528;50.637
28.003;50.338
29.339;50.969
30.282;51.738
31.185;51.422
29.919;51.852
30.889;51.863
28.602;51.954
29.588;52.186
29.674;52.455
29.912;52.94
31.339;53.879
31.63;54.599
34.013;55.388
35.351;56.204
37.144;56.849
38.596;57.042
39.477;57.601
39.472;58.338
40.764;59.124
42.236;60.272
42.719;60.828
45.526;61.779
43.828;62.333
44.746;62.477
46.312;62.744
50.432;63.281
49.65;63.941
46.485;64.93
48.465;65.544
50.486;66.153
49.029;66.743
51.511;67.599
51.532;68.069
50.865;68.901
52.289;69.453
51.966;69.909
52.71;70.236
53.901;70.662
52.168;71.414
54.545;71.612
52.737;72.528
52.178;73.11
50.666;73.082
49.187;73.007
49.444;73.732
50.226;74.038
49.398;74.47
51.33;75.355
51.735;76.05
52.861;76.768
53.953;77.343
54.483;77.73
56.316;78.024
56.998;78.902
58.509;79.501
59.917;80.226
60.617;80.631
61.281;81.088
63.469;81.472
62.233;81.992
62.956;82.752
64.83;83.323
66.026;83.827
66.736;84.662
68.938;85.149
69.508;85.688
70.919;86.18
72.965;86.992
72.731;87.733
76.065;88.717
77.98;89.635
78.327;90.663
81.947;91.68
84.228;92.701
89.226;92.998
88.891;94.083
93.085;95.155
95.066;96.269
95.725;97.103
101.097;98.53
98.609;99.474
100.056;100.521
100.238;101.475
101.877;101.758
101.802;102.218
102.576;102.519
111.051;103.114
109.858;103.579
110.84;104.247
113.908;104.585
112.404;105.055
112.521;105.458
116.971;105.917
121.579;106.664
121.783;107.415
123.502;108.502
124.094;109.309
126.432;110.088
128.58;111.003
128.761;111.465
132.478;111.946
134.236;112.995
130.112;113.696
135.877;114.149
136.485;114.938
137.652;115.495
139.081;116.612
142.162;117.494
143.894;117.916
144.72;118.605
144.856;119.02
143.284;119.739
142.273;119.937
136.695;119.916
128.413;120.376
