# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP252
# prediction_type;rolling
# method; GFSM_(n_components=3)
"GDP252";"HSBR";"Sfygt10";"FYAAAC"
22.641;1543.66666666667;1.21666666666667;4.13
23.025;1514;1.25666666666667;4.35333333333333
23.284;1442.66666666667;0.963333333333333;4.47333333333333
23.317;1350;0.353333333333333;4.57
23.527;1045;0.613333333333333;4.55333333333333
23.817;1008.66666666667;1.26666666666667;4.45333333333333
23.719;992.333333333333;1.47333333333333;4.31333333333333
23.746;967.333333333333;1.58;4.32
23.744;976.666666666667;1.43666666666667;4.27
24.1;1033;1.48666666666667;4.28333333333333
24.217;1113.33333333333;1.67666666666667;4.43666666666667
24.704;1145.33333333333;1.51333333333333;4.41
24.968;1150;1.29333333333333;4.41
25.271;1177;1.15666666666667;4.29666666666667
25.477;1204;1.15;4.33666666666667
25.84;1217.66666666667;1.09;4.25666666666667
26.013;1239.33333333333;0.986666666666667;4.19666666666667
26.263;1327.66666666667;1.02333333333333;4.22
26.62;1348;0.74;4.28666666666667
26.846;1398;0.623333333333333;4.33333333333333
27.379;1350.33333333333;0.65;4.37666666666667
27.864;1281;0.723333333333333;4.40666666666667
28.38;1291.66666666667;0.696666666666667;4.41
28.459;1216;0.49;4.43
29.087;1220;0.313333333333333;4.42
29.409;1203.33333333333;0.333333333333333;4.44333333333333
29.914;1237.66666666667;0.38;4.49666666666667
30.755;1300;0.306666666666667;4.61333333333333
31.208;1239.33333333333;0.16;4.81333333333333
31.294;1059.66666666667;0.193333333333333;5.00333333333333
31.652;861;0.0966666666666667;5.32
31.783;739.333333333333;-0.206666666666667;5.38333333333333
31.97;952.333333333333;0.07;5.12
32.398;1093.33333333333;1.16;5.26333333333333
32.563;1228.33333333333;0.946666666666667;5.61666666666667
32.759;1297.33333333333;0.89;6.02666666666667
33.539;1297;0.56;6.12666666666667
34.055;1294.33333333333;0.223333333333333;6.25333333333333
34.695;1388.33333333333;0.263333333333333;6.07666666666667
34.849;1415.33333333333;0.183333333333333;6.24333333333333
35.24;1464;0.0833333333333333;6.7
35.463;1372.66666666667;0.156666666666667;6.88666666666667
35.626;1286;-0.166666666666667;7.06333333333333
35.906;1187.33333333333;-0.0566666666666667;7.46666666666667
36.122;1104;0.156666666666667;7.89333333333333
36.29;1291.33333333333;1.03666666666667;8.14
36.607;1381.33333333333;1.13333333333333;8.22
36.503;1611;1.5;7.90666666666667
37.205;1663.33333333333;2.17666666666667;7.21666666666667
37.548;1873.33333333333;1.99666666666667;7.47333333333333
37.847;2023;1.47333333333333;7.55666666666667
38.479;2079.33333333333;1.66;7.3
38.989;2170.66666666667;2.59666666666667;7.23333333333333
39.726;2129.66666666667;2.37333333333333;7.27666666666667
40.336;2283.66666666667;2.07;7.20666666666667
41.276;2335.66666666667;1.51;7.13666666666667
42.021;2186.33333333333;0.903333333333333;7.22
41.999;1963.33333333333;0.203333333333333;7.30666666666667
42.149;1777.33333333333;-1.11666666666667;7.58666666666667
42.024;1367;-0.746666666666667;7.65
41.662;1377;-0.563333333333333;7.89666666666667
41.829;1159.33333333333;-0.61;8.36333333333333
42.016;919.666666666667;-0.226666666666667;8.98666666666667
41.41;825.333333333333;0.31;9.01666666666667
41.764;721.333333333333;1.79;8.70666666666667
42.445;908.666666666667;2.65666666666667;8.87333333333333
43.048;1026;1.96666666666667;8.91333333333333
43.496;1099;2.43666666666667;8.81
44.362;1183;2.83666666666667;8.55666666666667
44.757;1171.33333333333;2.61666666666667;8.53333333333333
45.225;1345;2.58;8.46333333333333
45.82;1489;2.51666666666667;8.18333333333333
46.363;1562;2.72333333333333;8.03333333333333
46.614;1693.33333333333;2.53;8.01333333333333
47.058;1713.66666666667;1.86;7.94666666666667
47.765;1761;1.48666666666667;8.10333333333333
48.036;1758.33333333333;1.61666666666667;8.45
49.061;1899;1.84333333333333;8.67
49.275;1742.66666666667;1.17666666666667;8.75333333333333
49.675;1798;0.25;9.02666666666667
49.935;1557.66666666667;-0.276666666666667;9.29333333333333
49.916;1640.33333333333;-0.263333333333333;9.39
50.41;1587.66666666667;-0.57;9.29
50.555;1337;-1.39666666666667;10.5433333333333
50.475;1155.66666666667;-1.36666666666667;12.1433333333333
49.349;929;0.86;11.2033333333333
