# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=5)
"GDP253";"GDP255";"CPILFESL";"GDP275_2";"GDP274_2";"Sfygt10"
98.609;99.474;180.7;99.912;100.677;0.463333333333333
100.056;100.521;181.9;99.717;99.595;-0.123333333333333
100.238;101.475;183;99.835;98.217;-0.45
101.877;101.758;184.333333333333;99.746;96.407;0.233333333333333
101.802;102.218;185.466666666667;98.435;94.639;1.61
102.576;102.519;186.733333333333;97.372;93.251;1.81
111.051;103.114;187.966666666667;96.49;91.939;2.86333333333333
109.858;103.579;189;96.091;90.229;3.35333333333333
110.84;104.247;189.966666666667;95.816;89.384;3.38333333333333
113.908;104.585;190.966666666667;95.089;88.188;2.61666666666667
112.404;105.055;191.833333333333;94.464;86.95;2.67333333333333
112.521;105.458;192.466666666667;93.548;85.7;2.76333333333333
116.971;105.917;192.8;92.66;84.02;2.58
121.579;106.664;193.566666666667;92.94;82.172;3.30333333333333
121.783;107.415;194.066666666667;92.937;81.464;3.37
123.502;108.502;195;92.58;81.012;3.10333333333333
124.094;109.309;196.233333333333;92.922;80.38;3.52333333333333
126.432;110.088;197.066666666667;92.696;79.382;2.81666666666667
128.58;111.003;198.266666666667;92.454;78.9;2.16666666666667
128.761;111.465;199.5;92.416;78.118;1.76
132.478;111.946;200.466666666667;91.903;77.609;1.29666666666667
134.236;112.995;201.1;91.42;76.244;0.853333333333333
130.112;113.696;202.466666666667;91.156;75.419;0.663333333333333
135.877;114.149;203.7;90.827;74.614;0.176666666666667
136.485;114.938;205.433333333333;91.541;73.79;0.366666666666667
137.652;115.495;206.766666666667;91.532;72.879;-0.01
139.081;116.612;207.833333333333;91.429;72.043;-0.273333333333333
142.162;117.494;208.993333333333;91.486;71.27;-0.303333333333333
143.894;117.916;210.096666666667;90.468;70.554;0.11
144.72;118.605;211.204;90.114;69.426;0.426666666666667
144.856;119.02;212.626666666667;90.311;68.445;0.87
143.284;119.739;213.941666666667;90.203;68.115;1.62
142.273;119.937;215.007;89.52;67.161;2.26
136.695;119.916;216.493333333333;90.817;66.716;2.37
128.413;120.376;216.836;89.992;65.972;2.95666666666667
