# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=5)
"GDP253";"GDP255";"CPILFESL";"GDP275_2";"GDP274_2";"Sfygt10"
10.544;20.276;29.9333333333333;48.891;82.662;1.21666666666667
10.954;20.671;30.1;49.04;82.894;1.25666666666667
11.178;20.978;30.2333333333333;49.26;82.96;0.963333333333333
10.61;21.252;30.4333333333333;49.353;82.929;0.353333333333333
10.971;21.505;30.5666666666667;49.478;83.185;0.613333333333333
11.224;21.711;30.6333333333333;49.739;83.343;1.26666666666667
11.135;21.72;30.6;49.923;83.396;1.47333333333333
10.836;21.944;30.7666666666667;50.019;83.375;1.58
10.198;22.177;30.8333333333333;50.068;83.256;1.43666666666667
10.414;22.581;30.9333333333333;49.969;83.275;1.48666666666667
10.67;22.669;31.0666666666667;50.215;83.139;1.67666666666667
11.204;23.077;31.1666666666667;50.19;82.926;1.51333333333333
11.455;23.285;31.2333333333333;50;82.762;1.29333333333333
11.751;23.656;31.3666666666667;50.174;82.566;1.15666666666667
11.853;23.866;31.4666666666667;50.416;82.362;1.15
12.402;24.18;31.5333333333333;50.472;82.281;1.09
12.674;24.293;31.6;50.555;82.216;0.986666666666667
12.958;24.564;31.7333333333333;50.677;82.134;1.02333333333333
13.106;25.058;31.8666666666667;50.815;82.18;0.74
13.33;25.405;32.0333333333333;51.005;82.4;0.623333333333333
13.833;25.792;32.2;51.101;82.357;0.65
14.195;26.16;32.2333333333333;51.186;82.226;0.723333333333333
14.674;26.527;32.3;51.124;81.948;0.696666666666667
14.186;26.9;32.4666666666667;51.109;81.723;0.49
15.553;27.158;32.6;51.336;81.554;0.313333333333333
15.584;27.538;32.7;51.513;81.363;0.333333333333333
16.137;27.919;32.7333333333333;51.845;80.985;0.38
16.825;28.382;32.9;51.991;80.481;0.306666666666667
17.64;28.644;33.0666666666667;52.388;80.382;0.16
16.901;28.99;33.4;52.824;80.605;0.193333333333333
17.483;29.242;33.7;53.348;80.978;0.0966666666666667
17.484;29.641;34.0333333333333;53.89;81.421;-0.206666666666667
17.152;30.003;34.2333333333333;54.544;81.685;0.07
17.915;30.367;34.5;55.061;81.741;1.16
17.748;30.799;34.8666666666667;55.674;82.147;0.946666666666667
17.779;31.039;35.2333333333333;56.228;82.603;0.89
18.92;31.438;35.6666666666667;57.05;83.561;0.56
19.28;31.966;36.0333333333333;58.071;84.269;0.223333333333333
20.155;32.387;36.5333333333333;59.041;84.824;0.263333333333333
20.021;32.8;37.0666666666667;59.854;85.459;0.183333333333333
20.392;33.14;37.5666666666667;60.715;86.003;0.0833333333333333
20.326;33.5;38.1666666666667;61.485;86.696;0.156666666666667
20.27;33.831;38.7;62.327;87.23;-0.166666666666667
20.169;34.292;39.2333333333333;63.064;87.71;-0.0566666666666667
19.814;34.611;39.8333333333333;63.617;88.018;0.156666666666667
20.016;34.8;40.5666666666667;64.062;88.407;1.03666666666667
20.071;35.234;41.1;64.654;88.556;1.13333333333333
18.624;35.508;41.7666666666667;65.454;89.054;1.5
20.72;35.808;42.1666666666667;65.921;89.455;2.17666666666667
21.189;36.175;42.6;66.426;89.928;1.99666666666667
21.748;36.52;42.9666666666667;66.737;90.343;1.47333333333333
22.716;37.098;43.2;67.001;90.44;1.66
23.268;37.685;43.5666666666667;67.531;90.736;2.59666666666667
23.835;38.15;43.9;67.8;90.975;2.37333333333333
24.456;38.651;44.2333333333333;67.883;91.334;2.07
25.783;39.389;44.4666666666667;68.688;91.746;1.51
27.426;39.779;44.8;69.249;92.104;0.903333333333333
27.07;40.212;45.2666666666667;70.293;92.579;0.203333333333333
26.794;40.454;45.7333333333333;70.738;93.108;-1.11666666666667
26.106;40.652;46.5;71.424;93.597;-0.746666666666667
25.442;40.671;47.2333333333333;72.738;94.904;-0.563333333333333
25.593;41.088;48.4666666666667;74.636;97.067;-0.61
25.758;41.337;50.1333333333333;76.645;100.153;-0.226666666666667
23.209;41.769;51.6;77.64;103.103;0.31
23.698;42.146;52.7;77.823;105.069;1.79
24.136;42.612;53.5333333333333;77.9;106.598;2.65666666666667
25.699;42.86;54.2333333333333;78.525;107.531;1.96666666666667
26.45;43.355;55.1666666666667;78.889;108.881;2.43666666666667
27.823;43.823;56.2;79.596;109.969;2.83666666666667
27.937;44.108;56.9666666666667;80.267;110.644;2.61666666666667
28.258;44.628;57.9;81.469;111.176;2.58
28.73;45.341;58.7;82.157;111.756;2.51666666666667
29.943;45.702;59.6666666666667;83.341;112.834;2.72333333333333
30.623;45.992;60.6333333333333;83.475;113.422;2.53
31.031;46.68;61.5;84.796;114.411;1.86
31.641;47.193;62.3333333333333;85.181;115.133;1.48666666666667
30.808;47.895;63.4333333333333;84.837;116.174;1.61666666666667
33.214;48.538;64.7333333333333;86.082;118.175;1.84333333333333
32.737;48.775;66.1333333333333;86.088;119.725;1.17666666666667
32.982;49.023;67.6;86.46;121.734;0.25
32.642;49.519;69.1666666666667;86.684;123.4;-0.276666666666667
31.888;49.979;70.8;87.46;124.69;-0.263333333333333
32.813;50.169;72.6333333333333;87.637;125.808;-0.57
31.956;50.509;74.8333333333333;88.436;127.697;-1.39666666666667
31.528;50.637;77.6;89.708;130.431;-1.36666666666667
28.003;50.338;80.2;90.301;132.814;0.86
29.339;50.969;81.4;90.882;134.976;1.8
30.282;51.738;83.9333333333333;91.935;136.794;-1.19
31.185;51.422;85.9;92.485;139.064;-1.43
29.919;51.852;87.8;93.159;141.131;-1.15666666666667
30.889;51.863;90.7666666666667;93.804;143.024;-0.206666666666667
28.602;51.954;92.5333333333333;93.874;144.529;2.33666666666667
29.588;52.186;93.6666666666667;94.164;146.013;1.48
29.674;52.455;95.4;94.684;147.356;1.51
29.912;52.94;97;94.754;147.283;3.8
31.339;53.879;97.3333333333333;94.34;147.734;2.76
31.63;54.599;97.9333333333333;94.811;147.69;2.45666666666667
34.013;55.388;98.9;95.393;147.811;2.14666666666667
35.351;56.204;100.133333333333;96.255;147.666;2.48666666666667
37.144;56.849;101.433333333333;95.708;147.803;2.88666666666667
38.596;57.042;102.833333333333;95.859;147.468;2.77333333333333
39.477;57.601;104.1;95.275;147.62;3.40333333333333
39.472;58.338;105.4;96.029;146.932;2.54666666666667
40.764;59.124;106.466666666667;96.529;147.045;2.94
42.236;60.272;107.633333333333;97.333;147.061;3.4
42.719;60.828;108.766666666667;97.704;147.086;3.35333333333333
45.526;61.779;109.733333333333;97.961;145.401;3.23
43.828;62.333;111;98.348;145.481;2.59333333333333
44.746;62.477;112.2;97.404;144.512;1.66
46.312;62.744;113.133333333333;96.319;144.706;1.46333333333333
50.432;63.281;114.2;97.208;144.534;1.78333333333333
49.65;63.941;115.3;97.526;144.508;1.91
46.485;64.93;116.233333333333;98.925;145.462;1.65666666666667
48.465;65.544;117.633333333333;100.002;144.95;2.68666666666667
50.486;66.153;118.733333333333;100.309;144.599;2.83333333333333
49.029;66.743;120.1;101.636;144.156;3.26
51.511;67.599;121.266666666667;101.627;144.307;2.69333333333333
51.532;68.069;122.733333333333;103.595;144.855;2.7
50.865;68.901;124.1;103.727;144.655;2.09
52.289;69.453;125.6;105.167;144.74;1.23
51.966;69.909;126.933333333333;104.961;144.371;0.666666666666667
52.71;70.236;128.3;105.439;143.463;0.363333333333333
53.901;70.662;129.533333333333;104.206;144.068;0.263333333333333
52.168;71.414;131.1;105.407;143.992;0.253333333333333
54.545;71.612;132.766666666667;106.977;143.769;0.663333333333333
52.737;72.528;134.5;108.697;143.301;0.93
52.178;73.11;136.5;109.065;143.067;1.22666666666667
50.666;73.082;138.066666666667;109.136;142.567;1.40666666666667
49.187;73.007;140.066666666667;109.438;142.671;1.99333333333333
49.444;73.732;141.333333333333;109.98;142.3;2.57
50.226;74.038;142.866666666667;110.986;141.554;2.56333333333333
49.398;74.47;144.2;111.774;140.721;2.80666666666667
51.33;75.355;145.466666666667;111.281;140.935;3.41
51.735;76.05;146.733333333333;111.124;140.244;3.69666666666667
52.861;76.768;147.866666666667;111.361;139.293;3.53333333333333
53.953;77.343;149.2;111.662;138.868;3.67333333333333
54.483;77.73;150.5;111.475;137.555;3.32
56.316;78.024;151.766666666667;110.605;137.274;3.02333333333333
56.998;78.902;152.666666666667;110.655;136.763;2.61333333333333
58.509;79.501;153.866666666667;110.612;136.697;2.54666666666667
59.917;80.226;154.866666666667;109.221;136.613;2.82333333333333
60.617;80.631;155.933333333333;109.718;136.686;3.09666666666667
61.281;81.088;157.1;109.019;136.473;2.85666666666667
63.469;81.472;158.1;107.911;134.661;2.55666666666667
62.233;81.992;159.433333333333;106.775;133.976;1.74666666666667
62.956;82.752;160.733333333333;106.366;132.733;1.02333333333333
64.83;83.323;161.8;106.114;131.344;0.956666666666667
66.026;83.827;162.933333333333;105.969;129.599;0.633333333333333
66.736;84.662;164.033333333333;105.79;128.314;0.98
68.938;85.149;165;105.302;126.162;1.7
69.508;85.688;166.066666666667;103.924;124.96;1.68333333333333
70.919;86.18;167.133333333333;104.307;123.066;1.36666666666667
72.965;86.992;168.1;104.674;121.207;1.50333333333333
72.731;87.733;169.166666666667;105.839;119.205;1.65
76.065;88.717;169.9;104.808;117.404;1.19666666666667
77.98;89.635;170.866666666667;104.383;115.966;0.816666666666667
78.327;90.663;171.9;103.3;114.324;0.533333333333333
81.947;91.68;172.866666666667;102.739;113.169;0.62
84.228;92.701;173.9;103.404;110.565;0.38
89.226;92.998;174.866666666667;102.383;108.464;0.416666666666667
88.891;94.083;175.633333333333;101.012;106.988;0.576666666666667
93.085;95.155;176.466666666667;101.616;105.518;1.08666666666667
95.066;96.269;177.4;101.101;103.916;1.23333333333333
95.725;97.103;178.4;101.424;102.293;1.09666666666667
101.097;98.53;179.566666666667;100.537;101.51;0.96
