# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP253
# prediction_type;rolling
# method; GFSM_(n_components=9)
"GDP253";"GDP255";"CPIAUCSL";"Sfygt10";"LHU27";"GDP274_2";"GDP275A";"FYAAAC";"MSONDQ";"IPS34"
10.544;20.276;28.9933333333333;1.21666666666667;738;82.662;22.646;4.13;9.68533333333333;16.7061666666667
10.954;20.671;29.0433333333333;1.25666666666667;584.666666666667;82.894;22.694;4.35333333333333;10.4186666666667;18.2830666666667
11.178;20.978;29.1933333333333;0.963333333333333;474.333333333333;82.96;22.815;4.47333333333333;10.5773333333333;15.2068
10.61;21.252;29.37;0.353333333333333;463.666666666667;82.929;22.904;4.57;10.3423333333333;15.8336666666667
10.971;21.505;29.3966666666667;0.613333333333333;444.666666666667;83.185;22.911;4.55333333333333;9.95833333333333;18.3283
11.224;21.711;29.5733333333333;1.26666666666667;405.333333333333;83.343;23.061;4.45333333333333;10.357;16.8612666666667
11.135;21.72;29.59;1.47333333333333;425.333333333333;83.396;23.132;4.31333333333333;9.93866666666667;16.3830333333333
10.836;21.944;29.78;1.58;556.666666666667;83.375;23.251;4.32;9.75166666666667;15.3231666666667
10.198;22.177;29.84;1.43666666666667;666.333333333333;83.256;23.294;4.27;9.83666666666667;14.6445333333333
10.414;22.581;29.83;1.48666666666667;863;83.275;23.171;4.28333333333333;9.78033333333333;15.866
10.67;22.669;29.9466666666667;1.67666666666667;912;83.139;23.228;4.43666666666667;10.6503333333333;17.081
11.204;23.077;29.99;1.51333333333333;775.333333333333;82.926;23.214;4.41;10.5643333333333;17.779
11.455;23.285;30.1066666666667;1.29333333333333;665.333333333333;82.762;23.304;4.41;10.991;18.2249333333333
11.751;23.656;30.22;1.15666666666667;607.666666666667;82.566;23.38;4.29666666666667;10.9203333333333;17.9922666666667
11.853;23.866;30.3066666666667;1.15;563.333333333333;82.362;23.422;4.33666666666667;10.7546666666667;18.0633333333333
12.402;24.18;30.38;1.09;485.333333333333;82.281;23.542;4.25666666666667;11.408;18.3218666666667
12.674;24.293;30.4766666666667;0.986666666666667;580;82.216;23.595;4.19666666666667;11.6976666666667;18.5997666666667
12.958;24.564;30.5333333333333;1.02333333333333;565.333333333333;82.134;23.59;4.22;12.085;19.6467
13.106;25.058;30.72;0.74;542.666666666667;82.18;23.745;4.28666666666667;12.2996666666667;19.4011333333333
13.33;25.405;30.8033333333333;0.623333333333333;513.666666666667;82.4;23.802;4.33333333333333;12.5436666666667;19.8923
13.833;25.792;30.93;0.65;498.666666666667;82.357;23.926;4.37666666666667;13.2496666666667;20.1702333333333
14.195;26.16;30.98;0.723333333333333;494;82.226;23.936;4.40666666666667;14.1663333333333;20.7712333333333
14.674;26.527;31.05;0.696666666666667;497;81.948;23.996;4.41;13.7563333333333;21.5403
14.186;26.9;31.1933333333333;0.49;433.333333333333;81.723;24.085;4.43;14.3046666666667;22.0961
15.553;27.158;31.29;0.313333333333333;386.666666666667;81.554;24.172;4.42;14.653;23.2658333333333
15.584;27.538;31.49;0.333333333333333;362.666666666667;81.363;24.381;4.44333333333333;15.0236666666667;24.0737
16.137;27.919;31.5833333333333;0.38;335.666666666667;80.985;24.528;4.49666666666667;15.4136666666667;24.7716333333333
16.825;28.382;31.75;0.306666666666667;313.333333333333;80.481;24.611;4.61333333333333;16.6323333333333;24.7522666666667
17.64;28.644;32.0466666666667;0.16;276;80.382;24.92;4.81333333333333;17.4796666666667;25.7863
16.901;28.99;32.3366666666667;0.193333333333333;255.333333333333;80.605;25.141;5.00333333333333;18.22;26.62
