# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP252
# prediction_type;rolling
# method; GFSM_(n_components=8)
"GDP252";"HSBR";"FYFF";"FYGT5";"Sfygt10";"GDP285A";"MSONDQ";"FYBAAC";"Sfygt1"
22.641;1543.66666666667;2.57;3.98666666666667;1.21666666666667;21.786;9.68533333333333;4.87;0.73
23.025;1514;3.08333333333333;4.32333333333333;1.25666666666667;21.82;10.4186666666667;4.95333333333333;0.916666666666667
23.284;1442.66666666667;3.57666666666667;4.68333333333333;0.963333333333333;21.891;10.5773333333333;5.11666666666667;1.06333333333333
23.317;1350;3.99;4.82666666666667;0.353333333333333;22.107;10.3423333333333;5.27333333333333;0.686666666666667
23.527;1045;3.93333333333333;4.64;0.613333333333333;22.052;9.95833333333333;5.31;0.696666666666667
23.817;1008.66666666667;3.69666666666667;4.3;1.26666666666667;22.069;10.357;5.24666666666667;0.876666666666667
23.719;992.333333333333;2.93666666666667;3.67333333333333;1.47333333333333;22.19;9.93866666666667;5.10333333333333;0.713333333333333
23.746;967.333333333333;2.29666666666667;3.74666666666667;1.58;22.129;9.75166666666667;5.09666666666667;0.686666666666667
23.744;976.666666666667;2.00333333333333;3.64333333333333;1.43666666666667;22.15;9.83666666666667;5.06333333333333;0.523333333333333
24.1;1033;1.73333333333333;3.61666666666667;1.48666666666667;22.119;9.78033333333333;5.01666666666667;0.633333333333333
24.217;1113.33333333333;1.68333333333333;3.9;1.67666666666667;22.092;10.6503333333333;5.10666666666667;0.71
24.704;1145.33333333333;2.4;3.84333333333333;1.51333333333333;22.081;10.5643333333333;5.11333333333333;0.64
24.968;1150;2.45666666666667;3.83666666666667;1.29333333333333;21.832;10.991;5.06333333333333;0.483333333333333
25.271;1177;2.60666666666667;3.63333333333333;1.15666666666667;21.868;10.9203333333333;5.01333333333333;0.3
25.477;1204;2.84666666666667;3.73666666666667;1.15;21.792;10.7546666666667;5.04666666666667;0.343333333333333
25.84;1217.66666666667;2.92333333333333;3.6;1.09;21.906;11.408;4.95666666666667;0.183333333333333
26.013;1239.33333333333;2.96666666666667;3.64;0.986666666666667;22.105;11.6976666666667;4.89333333333333;0.12
26.263;1327.66666666667;2.96333333333333;3.75666666666667;1.02333333333333;22.201;12.085;4.85333333333333;0.203333333333333
26.62;1348;3.33;3.91333333333333;0.74;22.332;12.2996666666667;4.83666666666667;0.233333333333333
26.846;1398;3.45333333333333;4.00666666666667;0.623333333333333;22.456;12.5436666666667;4.84;0.233333333333333
27.379;1350.33333333333;3.46333333333333;4.08;0.65;22.655;13.2496666666667;4.83;0.296666666666667
27.864;1281;3.49;4.07333333333333;0.723333333333333;22.771;14.1663333333333;4.85;0.383333333333333
28.38;1291.66666666667;3.45666666666667;4.05333333333333;0.696666666666667;22.739;13.7563333333333;4.82333333333333;0.27
28.459;1216;3.57666666666667;4.06666666666667;0.49;22.808;14.3046666666667;4.81;0.246666666666667
29.087;1220;3.97333333333333;4.13333333333333;0.313333333333333;22.993;14.653;4.78666666666667;0.12
29.409;1203.33333333333;4.07666666666667;4.15;0.333333333333333;22.895;15.0236666666667;4.82;0.146666666666667
29.914;1237.66666666667;4.07333333333333;4.2;0.38;23.054;15.4136666666667;4.89;0.216666666666667
30.755;1300;4.16666666666667;4.50666666666667;0.306666666666667;23.296;16.6323333333333;4.96666666666667;0.296666666666667
31.208;1239.33333333333;4.55666666666667;4.92;0.16;23.414;17.4796666666667;5.16666666666667;0.32
31.294;1059.66666666667;4.91333333333333;4.89666666666667;0.193333333333333;23.658;18.22;5.49;0.346666666666667
31.652;861;5.41;5.39;0.0966666666666667;23.59;18.2973333333333;5.86666666666667;0.466666666666667
31.783;739.333333333333;5.56333333333333;5.21;-0.206666666666667;23.724;17.5093333333333;6.13666666666667;0.23
31.97;952.333333333333;4.82333333333333;4.66;0.07;23.734;15.3123333333333;5.88;0.09
32.398;1093.33333333333;3.99;4.75666666666667;1.16;23.669;16.153;5.98;0.586666666666667
32.563;1228.33333333333;3.89333333333333;5.31333333333333;0.946666666666667;23.67;16.7983333333333;6.33;0.826666666666667
32.759;1297.33333333333;4.17333333333333;5.7;0.89;23.68;16.832;6.72333333333333;0.81
33.539;1297;4.78666666666667;5.63;0.56;23.846;22.467;6.83;0.423333333333333
34.055;1294.33333333333;5.98;5.86;0.223333333333333;24.026;18.0373333333333;7.02333333333333;0.423333333333333
34.695;1388.33333333333;5.94333333333333;5.52666666666667;0.263333333333333;24.074;19.528;6.86333333333333;0.313333333333333
34.849;1415.33333333333;5.91666666666667;5.77666666666667;0.183333333333333;24.246;20.2456666666667;7.02666666666667;0.25
35.24;1464;6.56666666666667;6.33333333333333;0.0833333333333333;24.346;22.083;7.37666666666667;0.27
35.463;1372.66666666667;8.32666666666667;6.53;0.156666666666667;24.453;22.4063333333333;7.58666666666667;0.376666666666667
35.626;1286;8.98333333333333;7.20333333333333;-0.166666666666667;24.631;22.2613333333333;7.91666666666667;0.63
35.906;1187.33333333333;8.94;7.66666666666667;-0.0566666666666667;25.269;19.9833333333333;8.37333333333333;0.546666666666667
36.122;1104;8.57333333333333;7.73333333333333;0.156666666666667;25.533;19.544;8.75666666666667;0.343333333333333
36.29;1291.33333333333;7.88;7.77333333333333;1.03666666666667;25.827;16.8673333333333;8.97666666666667;0.776666666666667
36.607;1381.33333333333;6.70333333333333;7.48333333333333;1.13333333333333;26.458;17.4866666666667;9.41;0.61
36.503;1611;5.56666666666667;6.51333333333333;1.5;26.721;17.376;9.27666666666667;0.293333333333333
37.205;1663.33333333333;3.85666666666667;5.48333333333333;2.17666666666667;27.398;18.8166666666667;8.53;0.21
37.548;1873.33333333333;4.56333333333333;6.15333333333333;1.99666666666667;27.49;18.9893333333333;8.60666666666667;0.743333333333333
37.847;2023;5.47333333333333;6.51333333333333;1.47333333333333;27.827;18.538;8.70333333333333;0.74
38.479;2079.33333333333;4.75;5.8;1.66;28.241;18.9566666666667;8.41333333333333;0.496666666666667
38.989;2170.66666666667;3.54;5.71666666666667;2.59666666666667;28.715;19.7273333333333;8.23333333333333;0.97
39.726;2129.66666666667;4.3;5.97666666666667;2.37333333333333;29.46;20.4346666666667;8.22333333333333;1.07333333333333
40.336;2283.66666666667;4.74;6.08;2.07;29.94;22.2103333333333;8.17;0.933333333333333
41.276;2335.66666666667;5.14333333333333;6.15333333333333;1.51;30.613;22.8476666666667;7.99333333333333;0.573333333333333
42.021;2186.33333333333;6.53666666666667;6.58;0.903333333333333;31.517;24.5613333333333;7.96666666666667;0.61
41.999;1963.33333333333;7.81666666666667;6.72;0.203333333333333;33.998;25.7443333333333;8.09333333333333;0.413333333333333
42.149;1777.33333333333;10.56;7.33666666666667;-1.11666666666667;35.602;26.711;8.46666666666667;0.183333333333333
42.024;1367;9.99666666666667;6.83;-0.746666666666667;38.248;28.572;8.43666666666667;-0.0866666666666667
41.662;1377;9.32333333333333;7.02666666666667;-0.563333333333333;44.327;29.117;8.54333333333333;-0.263333333333333
41.829;1159.33333333333;11.25;8.06666666666667;-0.61;49.412;27.385;9.06333333333333;0.536666666666667
42.016;919.666666666667;12.09;8.46;-0.226666666666667;51.975;28.9976666666667;9.81;0.82
41.41;825.333333333333;9.34666666666667;7.65333333333333;0.31;53.674;23.1646666666667;10.57;0.313333333333333
41.764;721.333333333333;6.30333333333333;7.27333333333333;1.79;54.477;20.8296666666667;10.6466666666667;0.556666666666667
42.445;908.666666666667;5.42;7.74;2.65666666666667;54.628;19.6103333333333;10.63;1.13333333333333
43.048;1026;6.16;8.20666666666667;1.96666666666667;53.407;20.272;10.5833333333333;1.19
43.496;1099;5.41333333333333;7.84333333333333;2.43666666666667;53.475;19.3346666666667;10.58;1.05333333333333
44.362;1183;4.82666666666667;7.46666666666667;2.83666666666667;54.366;20.1466666666667;10.2566666666667;1.06
44.757;1171.33333333333;5.19666666666667;7.48333333333333;2.61666666666667;55.188;21.0986666666667;9.89666666666667;1.12333333333333
45.225;1345;5.28333333333333;7.31;2.58;56.177;22.948;9.62;0.863333333333333
45.82;1489;4.87333333333333;6.45666666666667;2.51666666666667;56.758;22.792;9.21333333333333;0.553333333333333
46.363;1562;4.66;6.78;2.72333333333333;58.742;22.76;9.10666666666667;0.79
46.614;1693.33333333333;5.15666666666667;6.83;2.53;60.374;24.337;8.99666666666667;0.853333333333333
47.058;1713.66666666667;5.82;6.97;1.86;61.176;24.794;8.83;0.783333333333333
47.765;1761;6.51333333333333;7.38;1.48666666666667;61.801;25.6473333333333;8.94333333333333;0.85
48.036;1758.33333333333;6.75666666666667;7.82;1.61666666666667;62.845;26.4783333333333;9.19666666666667;0.916666666666667
49.061;1899;7.28333333333333;8.17333333333333;1.84333333333333;64.364;28.465;9.47;1.31
